"aou","filename","centroid_lon","centroid_lat","s_tercile","n_tercile"
2890,"Colinus_virginianus_22728956.shp",-91.6111117579349,34.4771750087582,24.9051920575675,35.2994588218672
3160,"Zenaida_macroura_22690736.shp",-99.3466623704351,39.5865996420938,23.7405802406856,40.0302327474434
3870,"Coccyzus_americanus_22684331.shp",-90.9841837899394,36.0223781189329,6.97003173847401,27.9809570315418
3880,"Coccyzus_erythropthalmus_22684328.shp",-91.2743564605245,43.4112705194703,39.9277750647675,47.8358357744015
4060,"Melanerpes_erythrocephalus_22680810.shp",-93.2618040797976,40.2439334780288,34.325480143394,43.0138753255859
4280,"Archilochus_colubris_22688193.shp",-87.6744329211585,41.8332591824632,30.3162434892457,42.5435587562317
4610,"Contopus_virens_22699816.shp",-86.9208671335789,40.140895438109,35.4668172200387,43.0319620768884
4770,"Cyanocitta_cristata_22705611.shp",-90.6886918164558,42.9668844300109,35.2702229815054,46.0131632483853
4860,"Corvus_corax_22706068.shp",18.8065831461189,54.8060379100059,36.2121582033385,59.6614379883725
4900,"Corvus_ossifragus_22705993.shp",-84.1575567387069,33.7488713436226,31.3300781249056,38.1262817384115
4930,"Sturnus_vulgaris_22710886.shp",-8.74576142634183,44.4541153080822,-12.7894287107663,29.1993408205225
4950,"Molothrus_ater_22724354.shp",-101.010811593295,41.9535315784076,33.5992838540667,47.7052815754844
5070,"Icterus_galbula_22724126.shp",-99.7739984071685,40.7230462321978,31.8686930340563,45.1841023763237
5110,"Quiscalus_quiscula_22724320.shp",-94.4522082858753,44.8597688533713,36.8083496089473,49.0894165032691
5290,"Carduelis_tristis_22720407.shp",-97.0532389334021,44.3820265996726,33.8303426105231,45.5972086588526
5870,"Pipilo_erythrophthalmus_22721310.shp",-99.7925004723911,40.5670300496448,27.5720418295668,40.8795572919355
5930,"Cardinalis_cardinalis_22723819.shp",-92.5648618684549,34.8204757195516,26.2096354163414,36.7735799150811
5980,"Passerina_cyanea_22723951.shp",-92.1790378653963,39.1063196859118,28.8418172200887,40.6939493813589
6190,"Bombycilla_cedrorum_22708153.shp",-98.785651845537,48.0680571061934,42.3642781572112,51.2806803388266
6280,"Vireo_flavifrons_22705237.shp",-86.4154011443983,38.90415892749,17.354370117487,33.6146240236798
6290,"Vireo_solitarius_22705234.shp",-92.6474828618006,51.0146109989417,43.8462117515711,52.9295450847379
6310,"Vireo_griseus_22705188.shp",-88.7025917747468,34.7314153283097,27.6692504884194,35.2529907228436
6370,"Protonotaria_citrea_22721765.shp",-88.2014468620468,36.3455661292019,14.29270426489,29.7838948576616
6570,"Dendroica_magnolia_22721667.shp",-95.1887623635495,52.1279462531723,46.8329874672978,55.4368489582129
6590,"Dendroica_pensylvanica_22721664.shp",-83.6105527768724,47.3525947861928,41.4249471025268,47.9338175450437
6630,"Dendroica_dominica_22724793.shp",-87.0385073786876,35.3228715375575,24.9583129879541,33.8471069333384
6670,"Dendroica_virens_22721689.shp",-84.6763602273057,49.1007585237779,41.9957071939319,50.3473103842669
6710,"Dendroica_pinus_22721719.shp",-83.6577533431619,38.484985322554,29.1110229490499,40.6159667967303
6730,"Dendroica_discolor_22721725.shp",-84.1381847393369,35.6102730211984,31.6711629232304,38.8150431318351
6810,"Geothlypis_trichas_22721836.shp",-100.774366039188,44.9745705291359,24.549499511893,45.1953124999719
6830,"Icteria_virens_22722057.shp",-100.768613806716,38.5215210030707,30.8310750324868,42.3840738931957
6840,"Wilsonia_citrina_22721876.shp",-85.136535860581,36.0014559864844,21.4683634443176,32.4884236657197
6870,"Setophaga_ruticilla_22721762.shp",-97.1321667669319,48.0151452272246,9.31681315100613,37.1694539386484
7040,"Dumetella_carolinensis_22711013.shp",-95.2213843266673,42.6027164186439,28.9159138989073,41.9871012362331
7180,"Thryothorus_ludovicianus_22711450.shp",-87.9916099032793,34.4450719431688,23.6394449870965,34.6413777667706
7210,"Troglodytes_aedon_22711487.shp",-75.1114432427408,4.82286334679386,-17.2604777018844,21.2004191080555
7260,"Certhia_americana_22711244.shp",-101.926082194084,45.9723517068794,29.6763102212398,46.4917195634072
7290,"Sitta_pusilla_22711173.shp",-85.9410668003544,32.520675797838,29.9488525393133,34.0737915039748
7610,"Turdus_migratorius_22708958.shp",-106.808578455184,50.7047705968789,34.1387125654326,52.3575032555708
4090,"Melanerpes_carolinus_22680856.shp",-88.0037474181074,36.9615303156613,31.9853814838684,39.4434802531112
4520,"Myiarchus_crinitus_22700433.shp",-88.7721266879368,40.6964520840029,16.207031250292,35.8794555667211
4650,"Empidonax_virescens_22699842.shp",-87.9916553315019,36.7297729899739,12.4788208009392,28.9112548828066
4880,"Corvus_brachyrhynchos_22705990.shp",-97.9369592579464,46.1733255482872,37.6000162758305,50.6727498370354
5950,"Pheucticus_ludovicianus_22723813.shp",-96.1983080736878,47.1996578546058,42.4781290691013,50.972127278651
6080,"Piranga_olivacea_22722466.shp",-85.1230980010589,41.7017324075986,9.68216959644976,31.3538411460521
6100,"Piranga_rubra_22722456.shp",-93.771800470832,33.4727581987212,30.4983520511063,36.5012207037725
6240,"Vireo_olivaceus_22705243.shp",-89.9675008684381,32.0870490653807,-2.06243896478634,32.129821777553
6360,"Mniotilta_varia_22721758.shp",-92.3242199757606,48.0509871132548,25.5483601887717,45.2928263344678
6480,"Parula_americana_22721639.shp",-84.1221430377925,39.8901569092441,23.8354288734438,38.3631795246154
6540,"Dendroica_caerulescens_22721673.shp",-76.729711604877,44.8336615130399,39.0328369141923,44.242553710985
6580,"Dendroica_cerulea_22721740.shp",-86.0369094052425,40.1458035372563,37.4677734372943,42.0712280271518
6770,"Oporornis_formosus_22721812.shp",-86.5273970090773,36.2397781841894,34.5459594725517,39.5098266599724
6860,"Wilsonia_canadensis_22721882.shp",-87.4907358051436,49.7693589055854,43.2510172525442,51.8519490559043
7270,"Sitta_carolinensis_22711202.shp",-99.4277699977625,40.5121157994784,30.593119303613,43.6927083334229
7510,"Polioptila_caerulea_22711581.shp",-95.8986816209734,33.7447500763037,25.1609497068635,35.8820190431444
7550,"Hylocichla_mustelina_22708670.shp",-83.7330762546443,40.0497114154953,21.6161499015967,35.3516235345985
7560,"Catharus_fuscescens_22708655.shp",-95.4138858329553,47.1451512344158,41.789489746055,48.878295898537
4120,"Colaptes_auratus_22726404.shp",-99.7832476806715,50.4759534335234,35.7440033343864,52.2249776045329
3940,"Dryobates_pubescens_22681155.shp",-105.468721922219,48.2793493817388,39.1192220049916,53.7111612953575
6390,"Helmitheros_vermivorum_22721768.shp",-85.7124222343823,36.3744198551135,34.4777221679438,38.8217163082611
6740,"Seiurus_aurocapilla_22721779.shp",-91.7173553830075,47.1790073996422,17.7283121743674,39.4070027664645
6750,"Parkesia_noveboracensis_22721793.shp",-106.398792208646,55.5869612150013,24.3354899085325,46.8150838212614
6760,"Parkesia_motacilla_22721803.shp",-85.919221076315,37.7804575487749,34.6087646486697,40.5298461914486
7310,"Baeolophus_bicolor_22711983.shp",-86.7088659252983,36.9660137159766,32.4798990888719,39.1242879235489
7350,"Parus_atricapillus_22711716.shp",-105.467040815556,50.041577133899,44.788635253714,55.381958007656
7360,"Parus_carolinensis_22711708.shp",-88.3579546177372,34.8973697117665,32.1906127933458,36.7057495120304
3930,"Leuconotopicus_villosus_22681166.shp",-105.863943530727,48.0406552143876,28.5612589517393,48.645589192887
4050,"Hylatomus_pileatus_22681363.shp",-95.0819634851496,45.4411752580803,35.7390136717436,46.9507446288616
